Year,Act Name,,,
1980,"=HYPERLINK(""https://lankalaw.net/wp-content/uploads/2024/03/iosama124448.pdf"",""Institute of Surveying and Mapping Act (Chapter 124)"")",,,
1980,"=HYPERLINK(""https://lankalaw.net/wp-content/uploads/2024/03/aab125280.pdf"",""Auctioneers and Brokers (Chapter 125)"")",,,
1980,"=HYPERLINK(""https://lankalaw.net/wp-content/uploads/2024/03/lopb126322.pdf"",""Licensing of Produce Brokers (Chapter 126)"")",,,
1980,"=HYPERLINK(""https://lankalaw.net/wp-content/uploads/2024/03/iov127302.pdf"",""Institute of Valuers (Chapter 127)"")",,,
1980,"=HYPERLINK(""https://lankalaw.net/wp-content/uploads/2024/03/ioa128307.pdf"",""Institute of Architects (Chapter 128)"")",,,
1980,"=HYPERLINK(""https://lankalaw.net/wp-content/uploads/2024/03/bad129183.pdf"",""Births and Death (Chapter 129)"")",,,
1980,"=HYPERLINK(""https://lankalaw.net/wp-content/uploads/2024/03/rod130363.pdf"",""Registration of Deaths (Emergency) (Chapter 130)"")",,,
1980,"=HYPERLINK(""https://lankalaw.net/wp-content/uploads/2024/03/m131146.pdf"",""Marriages (Chapter 131)"")",,,
1980,"=HYPERLINK(""https://lankalaw.net/wp-content/uploads/2024/03/mad132209.pdf"",""Marriage and Devorce (Kandyan) (Chapter 132)"")",,,
1980,"=HYPERLINK(""https://lankalaw.net/wp-content/uploads/2024/03/ks133244.pdf"",""Kandyan Succession (Chapter 133)"")",,,
1980,"=HYPERLINK(""https://lankalaw.net/wp-content/uploads/2024/03/mad134294.pdf"",""Marriage and Divorce (Muslim) (Chapter 134)"")",,,
1980,"=HYPERLINK(""https://lankalaw.net/wp-content/uploads/2024/03/saod136224.pdf"",""Sannases and Old Deeds (Chapter 136)"")",,,
1980,"=HYPERLINK(""https://lankalaw.net/wp-content/uploads/2024/03/roodai137463.pdf"",""Registration of Old Deeds and Instruments (Chapter 137)"")",,,
1980,"=HYPERLINK(""https://lankalaw.net/wp-content/uploads/2024/03/lrf138424.pdf"",""Land Registers (Reconstructed Folios) (Chapter 138)"")",,,
